bioguide,govtrack,icpsr,wikipedia,wikidata,google_entity_id,first,last,birthday,gender,type,start,end,state,class,party,house_history,district,middle,nickname,suffix,bioguide_previous,house_history_alternate,thomas,cspan,votesmart,lis,ballotpedia,official_full,opensecrets,url,fec,maplight,state_rank
H000558,405420,4381,Jacob Hibshman,Q6118740,kg:/m/027kzj_,Jacob,Hibshman,'1772-01-31',M,rep,'1819-12-06','1821-03-03',PA,,Republican,14974,3,,,,,,,,,,,,,,,,
L000405,406896,5748,William Logan (Kentuckian),Q2579764,kg:/m/0c0hdl,William,Logan,'1776-12-08',M,sen,'1819-12-06','1821-03-03',KY,3,Republican,,,,,,,,,,,,,,,,,,
M000913,407885,6647,Robert Moore (Pennsylvania politician),Q13219725,kg:/m/027d0bd,Robert,Moore,'1778-03-30',M,rep,'1817-12-01','1819-03-03',PA,,Republican,18478,15,,,,,,,,,,,,,,,,
M000913,407885,6647,Robert Moore (Pennsylvania politician),Q13219725,kg:/m/027d0bd,Robert,Moore,'1778-03-30',M,rep,'1819-12-06','1821-03-03',PA,,Republican,18478,15,,,,,,,,,,,,,,,,
C000792,402912,2079,Jeremiah Cosden,Q2183134,kg:/m/0dzx1f,Jeremiah,Cosden,'1821-03-04',M,rep,'1821-12-03','1823-03-03',MD,,Republican,11446,6,,,,,,,,,,,,,,,,
L000483,406971,5815,William Lowndes (congressman),Q1601626,kg:/m/033f2n,William,Lowndes,'1782-02-11',M,rep,'1811-11-04','1813-03-03',SC,,Republican,17196,4,,,,,,,,,,,,,,,,
L000483,406971,5815,William Lowndes (congressman),Q1601626,kg:/m/033f2n,William,Lowndes,'1782-02-11',M,rep,'1813-05-24','1815-03-03',SC,,Republican,17196,2,,,,,,,,,,,,,,,,
L000483,406971,5815,William Lowndes (congressman),Q1601626,kg:/m/033f2n,William,Lowndes,'1782-02-11',M,rep,'1815-12-04','1817-03-03',SC,,Republican,17196,2,,,,,,,,,,,,,,,,
L000483,406971,5815,William Lowndes (congressman),Q1601626,kg:/m/033f2n,William,Lowndes,'1782-02-11',M,rep,'1817-12-01','1819-03-03',SC,,Republican,17196,2,,,,,,,,,,,,,,,,
L000483,406971,5815,William Lowndes (congressman),Q1601626,kg:/m/033f2n,William,Lowndes,'1782-02-11',M,rep,'1819-12-06','1821-03-03',SC,,Republican,17196,2,,,,,,,,,,,,,,,,
L000483,406971,5815,William Lowndes (congressman),Q1601626,kg:/m/033f2n,William,Lowndes,'1782-02-11',M,rep,'1821-12-03','1823-03-03',SC,,Republican,17196,2,,,,,,,,,,,,,,,,
R000519,409477,8122,John Russ,Q1701624,kg:/m/0fhll7,John,Russ,'1767-10-29',M,rep,'1819-12-06','1821-03-03',CT,,Republican,20726,-1,,,,,,,,,,,,,,,,
R000519,409477,8122,John Russ,Q1701624,kg:/m/0fhll7,John,Russ,'1767-10-29',M,rep,'1821-12-03','1823-03-03',CT,,Republican,20726,-1,,,,,,,,,,,,,,,,
K000079,406248,5155,William Kelly (senator),Q979510,kg:/m/03gb28,William,Kelly,'1786-09-22',M,sen,'1822-01-01','1825-03-03',AL,3,Republican,,,,,,,,,,,,,,,,,,
F000391,412040,3379,Joel Frost,Q501915,kg:/m/02rkrzn,Joel,Frost,'1765-09-28',M,rep,'1823-12-01','1825-03-03',NY,,Crawford Republican,13463,4,,,,,,,,,,,,,,,,
T000211,410790,9333,Philip Thompson (Kentucky),Q2086483,kg:/m/02rqbr1,Philip,Thompson,'1789-08-20',M,rep,'1823-12-01','1825-03-03',KY,,,22891,11,,,,,,,,,,,,,,,,
P000448,412090,7541,Timothy H. Porter,Q7807231,kg:/m/02rkxf7,Timothy,Porter,'1785-11-28',M,rep,'1825-12-05','1827-03-03',NY,,Adams,19836,28,H.,,,,,,,,,,,,,,,
H000226,405104,4091,William Harper (South Carolina),Q5790909,kg:/m/093c1h,William,Harper,'1790-01-17',M,sen,'1826-01-01','1827-03-03',SC,3,Jackson,,,,,,,,,,,,,,,,,,
C000197,402343,1547,John Carter (South Carolina politician),Q1699560,kg:/m/02vrqy7,John,Carter,'1792-09-10',M,rep,'1821-12-03','1823-03-03',SC,,Republican,10700,9,,,,,,,,,,,,,,,,
C000197,402343,1547,John Carter (South Carolina politician),Q1699560,kg:/m/02vrqy7,John,Carter,'1792-09-10',M,rep,'1823-12-01','1825-03-03',SC,,Jacksonian,10700,8,,,,,,,,,,,,,,,,
C000197,402343,1547,John Carter (South Carolina politician),Q1699560,kg:/m/02vrqy7,John,Carter,'1792-09-10',M,rep,'1825-12-05','1827-03-03',SC,,Jackson,10700,8,,,,,,,,,,,,,,,,
C000197,402343,1547,John Carter (South Carolina politician),Q1699560,kg:/m/02vrqy7,John,Carter,'1792-09-10',M,rep,'1827-12-03','1829-03-03',SC,,Jackson,10700,8,,,,,,,,,,,,,,,,
L000214,406718,5582,Isaac Leffler,Q168061,kg:/m/02vp095,Isaac,Leffler,'1788-11-07',M,rep,'1827-12-03','1829-03-03',VA,,Adams,16859,18,,,,,,,,,,,,,,,,
N000118,408202,6941,James Noble (senator),Q1680902,kg:/m/04s_ts,James,Noble,'1785-12-16',M,sen,'1816-01-01','1821-03-03',IN,1,Republican,,,,,,,,,,,,,,,,,,
N000118,408202,6941,James Noble (senator),Q1680902,kg:/m/04s_ts,James,Noble,'1785-12-16',M,sen,'1821-12-03','1827-03-03',IN,1,Adams,,,,,,,,,,,,,,,,,,
N000118,408202,6941,James Noble (senator),Q1680902,kg:/m/04s_ts,James,Noble,'1785-12-16',M,sen,'1827-12-03','1831-12-31',IN,1,Adams,,,,,,,,,,,,,,,,,,
J000005,405913,4843,Andrew Jackson,Q11817,kg:/m/0rlz,Andrew,Jackson,'1767-03-15',M,rep,'1795-12-07','1797-03-03',TN,,Republican,15699,1,,,,,,,,,,,,,,,,
J000005,405913,4843,Andrew Jackson,Q11817,kg:/m/0rlz,Andrew,Jackson,'1767-03-15',M,sen,'1797-05-15','1799-03-03',TN,1,Republican,15699,,,,,,,,,,,,,,,,,
J000005,405913,4843,Andrew Jackson,Q11817,kg:/m/0rlz,Andrew,Jackson,'1767-03-15',M,sen,'1823-12-01','1825-12-31',TN,2,Democratic Republican,15699,,,,,,,,,,,,,,,,,
C000915,403027,2184,Jacob Crocheron,Q64806,kg:/m/02rkr16,Jacob,Crocheron,'1774-08-23',M,rep,'1829-12-07','1831-03-03',NY,,Jackson,11600,2,,,,,,,,,,,,,,,,
H000398,405265,4237,Robert Y. Hayne,Q883789,kg:/m/04gpb9,Robert,Hayne,'1791-11-10',M,sen,'1823-12-01','1829-03-03',SC,2,Jackson,,,Young,,,,,,,,,,,,,,,
H000398,405265,4237,Robert Y. Hayne,Q883789,kg:/m/04gpb9,Robert,Hayne,'1791-11-10',M,sen,'1829-12-07','1833-03-03',SC,2,Nullifier,,,Young,,,,,,,,,,,,,,,
A000099,400757,87,Mark Alexander (politician),Q1899890,kg:/m/028c29w,Mark,Alexander,'1792-02-07',M,rep,'1819-12-06','1821-03-03',VA,,Republican,8396,18,,,,,,,,,,,,,,,,
A000099,400757,87,Mark Alexander (politician),Q1899890,kg:/m/028c29w,Mark,Alexander,'1792-02-07',M,rep,'1821-12-03','1823-03-03',VA,,Republican,8396,18,,,,,,,,,,,,,,,,
A000099,400757,87,Mark Alexander (politician),Q1899890,kg:/m/028c29w,Mark,Alexander,'1792-02-07',M,rep,'1823-12-01','1825-03-03',VA,,Jacksonian,8396,4,,,,,,,,,,,,,,,,
A000099,400757,87,Mark Alexander (politician),Q1899890,kg:/m/028c29w,Mark,Alexander,'1792-02-07',M,rep,'1825-12-05','1827-03-03',VA,,Jackson,8396,4,,,,,,,,,,,,,,,,
A000099,400757,87,Mark Alexander (politician),Q1899890,kg:/m/028c29w,Mark,Alexander,'1792-02-07',M,rep,'1827-12-03','1829-03-03',VA,,Jackson,8396,4,,,,,,,,,,,,,,,,
A000099,400757,87,Mark Alexander (politician),Q1899890,kg:/m/028c29w,Mark,Alexander,'1792-02-07',M,rep,'1829-12-07','1831-03-03',VA,,Jackson,8396,4,,,,,,,,,,,,,,,,
A000099,400757,87,Mark Alexander (politician),Q1899890,kg:/m/028c29w,Mark,Alexander,'1792-02-07',M,rep,'1831-12-05','1833-03-03',VA,,Jackson,8396,4,,,,,,,,,,,,,,,,
A000284,400925,236,William Armstrong (Virginia),Q129732,kg:/m/02rlf0n,William,Armstrong,'1782-12-23',M,rep,'1825-12-05','1827-03-03',VA,,Adams,8658,16,,,,,,,,,,,,,,,,
A000284,400925,236,William Armstrong (Virginia),Q129732,kg:/m/02rlf0n,William,Armstrong,'1782-12-23',M,rep,'1827-12-03','1829-03-03',VA,,Adams,8658,16,,,,,,,,,,,,,,,,
A000284,400925,236,William Armstrong (Virginia),Q129732,kg:/m/02rlf0n,William,Armstrong,'1782-12-23',M,rep,'1829-12-07','1831-03-03',VA,,,8658,16,,,,,,,,,,,,,,,,
A000284,400925,236,William Armstrong (Virginia),Q129732,kg:/m/02rlf0n,William,Armstrong,'1782-12-23',M,rep,'1831-12-05','1833-03-03',VA,,,8658,16,,,,,,,,,,,,,,,,
B000659,401621,876,Joseph Bouck,Q2271304,kg:/m/02rkt43,Joseph,Bouck,'1788-07-22',M,rep,'1831-12-05','1833-03-03',NY,,Jackson,9638,12,,,,,,,,,,,,,,,,
C000760,402880,2054,Richard M. Cooper,Q1116524,kg:/m/02z9ytf,Richard,Cooper,'1768-02-29',M,rep,'1829-12-07','1831-03-03',NJ,,,11407,-1,Matlack,,,,,,,,,,,,,,,
C000760,402880,2054,Richard M. Cooper,Q1116524,kg:/m/02z9ytf,Richard,Cooper,'1768-02-29',M,rep,'1831-12-05','1833-03-03',NJ,,,11407,-1,Matlack,,,,,,,,,,,,,,,
I000034,412158,4819,William W. Irvin,Q8019796,kg:/m/02rm3wz,William,Irvin,'1779-04-05',M,rep,'1829-12-07','1831-03-03',OH,,Jackson,15659,9,W.,,,,,,,,,,,,,,,
I000034,412158,4819,William W. Irvin,Q8019796,kg:/m/02rm3wz,William,Irvin,'1779-04-05',M,rep,'1831-12-05','1833-03-03',OH,,Jackson,15659,9,W.,,,,,,,,,,,,,,,
K000192,406353,5252,Adam King (congressman),Q4679346,kg:/m/026y992,Adam,King,'1783-01-20',M,rep,'1827-12-03','1829-03-03',PA,,Jackson,16318,10,,,,,,,,,,,,,,,,
K000192,406353,5252,Adam King (congressman),Q4679346,kg:/m/026y992,Adam,King,'1783-01-20',M,rep,'1829-12-07','1831-03-03',PA,,Jackson,16318,10,,,,,,,,,,,,,,,,
K000192,406353,5252,Adam King (congressman),Q4679346,kg:/m/026y992,Adam,King,'1783-01-20',M,rep,'1831-12-05','1833-03-03',PA,,Jackson,16318,10,,,,,,,,,,,,,,,,
A000132,400788,115,John J. Allen (judge),Q198304,kg:/m/026pv61,John,Allen,'1797-09-25',M,rep,'1833-12-02','1835-03-03',VA,,Anti Jacksonian,8444,20,James,,,,,,,,,,,,,,,
B000165,401167,454,Charles Augustus Barnitz,Q5075244,kg:/m/027bpng,Charles,Barnitz,'1780-09-11',M,rep,'1833-12-02','1835-03-03',PA,,Anti Masonic,8983,11,Augustus,,,,,,,,,,,,,,,
G000319,404677,3703,William F. Gordon,Q535825,kg:/m/027qqb0,William,Gordon,'1787-01-13',M,rep,'1829-12-07','1831-03-03',VA,,Jackson,13966,10,Fitzhugh,,,,,,,,,,,,,,,
G000319,404677,3703,William F. Gordon,Q535825,kg:/m/027qqb0,William,Gordon,'1787-01-13',M,rep,'1831-12-05','1833-03-03',VA,,Jackson,13966,10,Fitzhugh,,,,,,,,,,,,,,,
G000319,404677,3703,William F. Gordon,Q535825,kg:/m/027qqb0,William,Gordon,'1787-01-13',M,rep,'1833-12-02','1835-03-03',VA,,Jackson,13966,12,Fitzhugh,,,,,,,,,,,,,,,
H000860,405707,4646,Edward Howell (politician),Q16065586,kg:/m/02rkp0p,Edward,Howell,'1792-10-16',M,rep,'1833-12-02','1835-03-03',NY,,Jackson,15349,27,,,,,,,,,,,,,,,,
K000125,406291,5194,Joseph Kent,Q774959,kg:/m/05qmc8,Joseph,Kent,'1779-01-14',M,rep,'1811-11-04','1813-03-03',MD,,Republican,16233,2,,,,,,,,,,,,,,,,
K000125,406291,5194,Joseph Kent,Q774959,kg:/m/05qmc8,Joseph,Kent,'1779-01-14',M,rep,'1813-05-24','1815-03-03',MD,,Republican,16233,2,,,,,,,,,,,,,,,,
K000125,406291,5194,Joseph Kent,Q774959,kg:/m/05qmc8,Joseph,Kent,'1779-01-14',M,rep,'1819-12-06','1821-03-03',MD,,Republican,16233,2,,,,,,,,,,,,,,,,
K000125,406291,5194,Joseph Kent,Q774959,kg:/m/05qmc8,Joseph,Kent,'1779-01-14',M,rep,'1821-12-03','1823-03-03',MD,,Republican,16233,2,,,,,,,,,,,,,,,,
K000125,406291,5194,Joseph Kent,Q774959,kg:/m/05qmc8,Joseph,Kent,'1779-01-14',M,rep,'1823-12-01','1825-03-03',MD,,Republican,16233,2,,,,,,,,,,,,,,,,
K000125,406291,5194,Joseph Kent,Q774959,kg:/m/05qmc8,Joseph,Kent,'1779-01-14',M,rep,'1825-12-05','1827-03-03',MD,,Adams,16233,2,,,,,,,,,,,,,,,,
K000125,406291,5194,Joseph Kent,Q774959,kg:/m/05qmc8,Joseph,Kent,'1779-01-14',M,sen,'1833-12-02','1837-12-31',MD,1,Whig,16233,,,,,,,,,,,,,,,,,
M000161,407183,6007,Thomas Alexander Marshall,Q1629877,kg:/m/02rjzm7,Thomas,Marshall,'1794-01-15',M,rep,'1831-12-05','1833-03-03',KY,,Anti Jacksonian,17522,2,Alexander,,,,,,,,,,,,,,,
M000161,407183,6007,Thomas Alexander Marshall,Q1629877,kg:/m/02rjzm7,Thomas,Marshall,'1794-01-15',M,rep,'1833-12-02','1835-03-03',KY,,Anti Jacksonian,17522,12,Alexander,,,,,,,,,,,,,,,
B000114,401115,407,John Banks (U.S. politician),Q6220546,kg:/m/026vh3b,John,Banks,'1793-10-17',M,rep,'1831-12-05','1833-03-03',PA,,Anti Masonic,8918,18,,,,,,,,,,,,,,,,
B000114,401115,407,John Banks (U.S. politician),Q6220546,kg:/m/026vh3b,John,Banks,'1793-10-17',M,rep,'1833-12-02','1835-03-03',PA,,Anti Masonic,8918,24,,,,,,,,,,,,,,,,
B000114,401115,407,John Banks (U.S. politician),Q6220546,kg:/m/026vh3b,John,Banks,'1793-10-17',M,rep,'1835-12-07','1837-03-03',PA,,Anti Masonic,8918,24,,,,,,,,,,,,,,,,
B001058,402005,1236,Samuel Bunch,Q145829,kg:/m/0cgllc,Samuel,Bunch,'1786-12-04',M,rep,'1833-12-02','1835-03-03',TN,,Jackson,10138,2,,,,,,,,,,,,,,,,
B001058,402005,1236,Samuel Bunch,Q145829,kg:/m/0cgllc,Samuel,Bunch,'1786-12-04',M,rep,'1835-12-07','1837-03-03',TN,,Jacksonian,10138,2,,,,,,,,,,,,,,,,
C000283,402426,1628,George Chambers (Pennsylvania),Q5537795,kg:/m/026vln5,George,Chambers,'1786-02-24',M,rep,'1833-12-02','1835-03-03',PA,,Anti Masonic,10809,12,,,,,,,,,,,,,,,,
C000283,402426,1628,George Chambers (Pennsylvania),Q5537795,kg:/m/026vln5,George,Chambers,'1786-02-24',M,rep,'1835-12-07','1837-03-03',PA,,Anti Masonic,10809,12,,,,,,,,,,,,,,,,
C000872,402986,2145,Joseph Halsey Crane,Q6283745,kg:/m/0d67x6,Joseph,Crane,'1782-08-31',M,rep,'1829-12-07','1831-03-03',OH,,Whig,11546,3,Halsey,,,,,,,,,,,,,,,
C000872,402986,2145,Joseph Halsey Crane,Q6283745,kg:/m/0d67x6,Joseph,Crane,'1782-08-31',M,rep,'1831-12-05','1833-03-03',OH,,Whig,11546,3,Halsey,,,,,,,,,,,,,,,
C000872,402986,2145,Joseph Halsey Crane,Q6283745,kg:/m/0d67x6,Joseph,Crane,'1782-08-31',M,rep,'1833-12-02','1835-03-03',OH,,Whig,11546,3,Halsey,,,,,,,,,,,,,,,
C000872,402986,2145,Joseph Halsey Crane,Q6283745,kg:/m/0d67x6,Joseph,Crane,'1782-08-31',M,rep,'1835-12-07','1837-03-03',OH,,Whig,11546,3,Halsey,,,,,,,,,,,,,,,
S000272,412177,8388,William Seymour (Congressman),Q8018300,kg:/m/03cm9ct,William,Seymour,'1775-02-22',M,rep,'1835-12-07','1837-03-03',NY,,Jackson,21472,20,,,,,,,,,,,,,,,,
W000179,411352,9856,George Corbin Washington,Q895883,kg:/m/0b3nlr,George,Washington,'1789-08-20',M,rep,'1827-12-03','1829-03-03',MD,,Adams,23426,3,Corbin,,,,,,,,,,,,,,,
W000179,411352,9856,George Corbin Washington,Q895883,kg:/m/0b3nlr,George,Washington,'1789-08-20',M,rep,'1829-12-07','1831-03-03',MD,,Anti Jacksonian,23426,3,Corbin,,,,,,,,,,,,,,,
W000179,411352,9856,George Corbin Washington,Q895883,kg:/m/0b3nlr,George,Washington,'1789-08-20',M,rep,'1831-12-05','1833-03-03',MD,,Anti Jacksonian,23426,3,Corbin,,,,,,,,,,,,,,,
W000179,411352,9856,George Corbin Washington,Q895883,kg:/m/0b3nlr,George,Washington,'1789-08-20',M,rep,'1835-12-07','1837-03-03',MD,,Anti Jacksonian,23426,5,Corbin,,,,,,,,,,,,,,,
S000599,410077,8674,Oliver H. Smith,Q1420076,kg:/m/0cynd4,Oliver,Smith,'1794-10-23',M,rep,'1827-12-03','1829-03-03',IN,,Jackson,21876,3,Hampton,,,,,,,,,,,,,,,
