bioguide,govtrack,icpsr,wikipedia,wikidata,google_entity_id,first,last,birthday,gender,type,start,end,state,class,party,house_history,district,middle,nickname,suffix,bioguide_previous,house_history_alternate,thomas,cspan,votesmart,lis,ballotpedia,official_full,opensecrets,url,fec,maplight,state_rank,caucus,end-type,twitter,facebook,youtube_id,twitter_id,youtube,instagram,instagram_id
C000127,300018,39310.0,Maria Cantwell,Q22250,kg:/m/01x68t,Maria,Cantwell,'1958-10-13',F,rep,'1993-01-05','1995-01-03',WA,,Democrat,10608,1,,,,,,'00172',26137,27122,S275,Maria Cantwell,Maria Cantwell,N00007836,,S8WA00194|H2WA01054,544.0,,,,SenatorCantwell,senatorcantwell,UCN52UDqKgvHRk39ncySrIMw,117501995,SenatorCantwell,,
C000127,300018,39310.0,Maria Cantwell,Q22250,kg:/m/01x68t,Maria,Cantwell,'1958-10-13',F,sen,'2001-01-03','2007-01-03',WA,1.0,Democrat,10608,,,,,,,'00172',26137,27122,S275,Maria Cantwell,Maria Cantwell,N00007836,http://cantwell.senate.gov,S8WA00194|H2WA01054,544.0,,,,SenatorCantwell,senatorcantwell,UCN52UDqKgvHRk39ncySrIMw,117501995,SenatorCantwell,,
C000127,300018,39310.0,Maria Cantwell,Q22250,kg:/m/01x68t,Maria,Cantwell,'1958-10-13',F,sen,'2007-01-04','2013-01-03',WA,1.0,Democrat,10608,,,,,,,'00172',26137,27122,S275,Maria Cantwell,Maria Cantwell,N00007836,http://cantwell.senate.gov,S8WA00194|H2WA01054,544.0,,,,SenatorCantwell,senatorcantwell,UCN52UDqKgvHRk39ncySrIMw,117501995,SenatorCantwell,,
C000127,300018,39310.0,Maria Cantwell,Q22250,kg:/m/01x68t,Maria,Cantwell,'1958-10-13',F,sen,'2013-01-03','2019-01-03',WA,1.0,Democrat,10608,,,,,,,'00172',26137,27122,S275,Maria Cantwell,Maria Cantwell,N00007836,https://www.cantwell.senate.gov,S8WA00194|H2WA01054,544.0,junior,,,SenatorCantwell,senatorcantwell,UCN52UDqKgvHRk39ncySrIMw,117501995,SenatorCantwell,,
C000127,300018,39310.0,Maria Cantwell,Q22250,kg:/m/01x68t,Maria,Cantwell,'1958-10-13',F,sen,'2019-01-03','2025-01-03',WA,1.0,Democrat,10608,,,,,,,'00172',26137,27122,S275,Maria Cantwell,Maria Cantwell,N00007836,https://www.cantwell.senate.gov,S8WA00194|H2WA01054,544.0,junior,,,SenatorCantwell,senatorcantwell,UCN52UDqKgvHRk39ncySrIMw,117501995,SenatorCantwell,,
C000141,400064,15408.0,Ben Cardin,Q723295,kg:/m/025k3k,Benjamin,Cardin,'1943-10-05',M,rep,'1987-01-06','1989-01-03',MD,,Democrat,10629,3,L.,,,,,'00174',4004,26888,S308,Ben Cardin,Benjamin L. Cardin,N00001955,,H6MD03177|S6MD03177,182.0,,,,SenatorCardin,senatorbencardin,UCiQaJnMzlfzzG3VESgyZChA,109071031,senatorcardin,senatorcardin,
C000141,400064,15408.0,Ben Cardin,Q723295,kg:/m/025k3k,Benjamin,Cardin,'1943-10-05',M,rep,'1989-01-03','1991-01-03',MD,,Democrat,10629,3,L.,,,,,'00174',4004,26888,S308,Ben Cardin,Benjamin L. Cardin,N00001955,,H6MD03177|S6MD03177,182.0,,,,SenatorCardin,senatorbencardin,UCiQaJnMzlfzzG3VESgyZChA,109071031,senatorcardin,senatorcardin,
C000141,400064,15408.0,Ben Cardin,Q723295,kg:/m/025k3k,Benjamin,Cardin,'1943-10-05',M,rep,'1991-01-03','1993-01-03',MD,,Democrat,10629,3,L.,,,,,'00174',4004,26888,S308,Ben Cardin,Benjamin L. Cardin,N00001955,,H6MD03177|S6MD03177,182.0,,,,SenatorCardin,senatorbencardin,UCiQaJnMzlfzzG3VESgyZChA,109071031,senatorcardin,senatorcardin,
C000141,400064,15408.0,Ben Cardin,Q723295,kg:/m/025k3k,Benjamin,Cardin,'1943-10-05',M,rep,'1993-01-05','1995-01-03',MD,,Democrat,10629,3,L.,,,,,'00174',4004,26888,S308,Ben Cardin,Benjamin L. Cardin,N00001955,,H6MD03177|S6MD03177,182.0,,,,SenatorCardin,senatorbencardin,UCiQaJnMzlfzzG3VESgyZChA,109071031,senatorcardin,senatorcardin,
C000141,400064,15408.0,Ben Cardin,Q723295,kg:/m/025k3k,Benjamin,Cardin,'1943-10-05',M,rep,'1995-01-04','1997-01-03',MD,,Democrat,10629,3,L.,,,,,'00174',4004,26888,S308,Ben Cardin,Benjamin L. Cardin,N00001955,,H6MD03177|S6MD03177,182.0,,,,SenatorCardin,senatorbencardin,UCiQaJnMzlfzzG3VESgyZChA,109071031,senatorcardin,senatorcardin,
C000141,400064,15408.0,Ben Cardin,Q723295,kg:/m/025k3k,Benjamin,Cardin,'1943-10-05',M,rep,'1997-01-07','1999-01-03',MD,,Democrat,10629,3,L.,,,,,'00174',4004,26888,S308,Ben Cardin,Benjamin L. Cardin,N00001955,,H6MD03177|S6MD03177,182.0,,,,SenatorCardin,senatorbencardin,UCiQaJnMzlfzzG3VESgyZChA,109071031,senatorcardin,senatorcardin,
C000141,400064,15408.0,Ben Cardin,Q723295,kg:/m/025k3k,Benjamin,Cardin,'1943-10-05',M,rep,'1999-01-06','2001-01-03',MD,,Democrat,10629,3,L.,,,,,'00174',4004,26888,S308,Ben Cardin,Benjamin L. Cardin,N00001955,,H6MD03177|S6MD03177,182.0,,,,SenatorCardin,senatorbencardin,UCiQaJnMzlfzzG3VESgyZChA,109071031,senatorcardin,senatorcardin,
C000141,400064,15408.0,Ben Cardin,Q723295,kg:/m/025k3k,Benjamin,Cardin,'1943-10-05',M,rep,'2001-01-03','2003-01-03',MD,,Democrat,10629,3,L.,,,,,'00174',4004,26888,S308,Ben Cardin,Benjamin L. Cardin,N00001955,,H6MD03177|S6MD03177,182.0,,,,SenatorCardin,senatorbencardin,UCiQaJnMzlfzzG3VESgyZChA,109071031,senatorcardin,senatorcardin,
C000141,400064,15408.0,Ben Cardin,Q723295,kg:/m/025k3k,Benjamin,Cardin,'1943-10-05',M,rep,'2003-01-07','2005-01-03',MD,,Democrat,10629,3,L.,,,,,'00174',4004,26888,S308,Ben Cardin,Benjamin L. Cardin,N00001955,http://www.house.gov/cardin,H6MD03177|S6MD03177,182.0,,,,SenatorCardin,senatorbencardin,UCiQaJnMzlfzzG3VESgyZChA,109071031,senatorcardin,senatorcardin,
C000141,400064,15408.0,Ben Cardin,Q723295,kg:/m/025k3k,Benjamin,Cardin,'1943-10-05',M,rep,'2005-01-04','2007-01-03',MD,,Democrat,10629,3,L.,,,,,'00174',4004,26888,S308,Ben Cardin,Benjamin L. Cardin,N00001955,http://www.house.gov/cardin,H6MD03177|S6MD03177,182.0,,,,SenatorCardin,senatorbencardin,UCiQaJnMzlfzzG3VESgyZChA,109071031,senatorcardin,senatorcardin,
C000141,400064,15408.0,Ben Cardin,Q723295,kg:/m/025k3k,Benjamin,Cardin,'1943-10-05',M,sen,'2007-01-04','2013-01-03',MD,1.0,Democrat,10629,,L.,,,,,'00174',4004,26888,S308,Ben Cardin,Benjamin L. Cardin,N00001955,http://cardin.senate.gov/,H6MD03177|S6MD03177,182.0,,,,SenatorCardin,senatorbencardin,UCiQaJnMzlfzzG3VESgyZChA,109071031,senatorcardin,senatorcardin,
C000141,400064,15408.0,Ben Cardin,Q723295,kg:/m/025k3k,Benjamin,Cardin,'1943-10-05',M,sen,'2013-01-03','2019-01-03',MD,1.0,Democrat,10629,,L.,,,,,'00174',4004,26888,S308,Ben Cardin,Benjamin L. Cardin,N00001955,https://www.cardin.senate.gov,H6MD03177|S6MD03177,182.0,senior,,,SenatorCardin,senatorbencardin,UCiQaJnMzlfzzG3VESgyZChA,109071031,senatorcardin,senatorcardin,
C000141,400064,15408.0,Ben Cardin,Q723295,kg:/m/025k3k,Benjamin,Cardin,'1943-10-05',M,sen,'2019-01-03','2025-01-03',MD,1.0,Democrat,10629,,L.,,,,,'00174',4004,26888,S308,Ben Cardin,Benjamin L. Cardin,N00001955,https://www.cardin.senate.gov,H6MD03177|S6MD03177,182.0,senior,,,SenatorCardin,senatorbencardin,UCiQaJnMzlfzzG3VESgyZChA,109071031,senatorcardin,senatorcardin,
C000174,300019,15015.0,Tom Carper,Q457432,kg:/m/01xw7t,Thomas,Carper,'1947-01-23',M,rep,'1983-01-03','1985-01-03',DE,,Democrat,10671,0,Richard,,,,,'00179',663,22421,S277,Tom Carper,Thomas R. Carper,N00012508,,S8DE00079,545.0,,,,SenatorCarper,tomcarper,UCgLnvbKwu4B3navofj6Qvvw,249787913,senatorcarper,,
C000174,300019,15015.0,Tom Carper,Q457432,kg:/m/01xw7t,Thomas,Carper,'1947-01-23',M,rep,'1985-01-03','1987-01-03',DE,,Democrat,10671,0,Richard,,,,,'00179',663,22421,S277,Tom Carper,Thomas R. Carper,N00012508,,S8DE00079,545.0,,,,SenatorCarper,tomcarper,UCgLnvbKwu4B3navofj6Qvvw,249787913,senatorcarper,,
C000174,300019,15015.0,Tom Carper,Q457432,kg:/m/01xw7t,Thomas,Carper,'1947-01-23',M,rep,'1987-01-06','1989-01-03',DE,,Democrat,10671,0,Richard,,,,,'00179',663,22421,S277,Tom Carper,Thomas R. Carper,N00012508,,S8DE00079,545.0,,,,SenatorCarper,tomcarper,UCgLnvbKwu4B3navofj6Qvvw,249787913,senatorcarper,,
C000174,300019,15015.0,Tom Carper,Q457432,kg:/m/01xw7t,Thomas,Carper,'1947-01-23',M,rep,'1989-01-03','1991-01-03',DE,,Democrat,10671,0,Richard,,,,,'00179',663,22421,S277,Tom Carper,Thomas R. Carper,N00012508,,S8DE00079,545.0,,,,SenatorCarper,tomcarper,UCgLnvbKwu4B3navofj6Qvvw,249787913,senatorcarper,,
C000174,300019,15015.0,Tom Carper,Q457432,kg:/m/01xw7t,Thomas,Carper,'1947-01-23',M,rep,'1991-01-03','1993-01-03',DE,,Democrat,10671,0,Richard,,,,,'00179',663,22421,S277,Tom Carper,Thomas R. Carper,N00012508,,S8DE00079,545.0,,,,SenatorCarper,tomcarper,UCgLnvbKwu4B3navofj6Qvvw,249787913,senatorcarper,,
C000174,300019,15015.0,Tom Carper,Q457432,kg:/m/01xw7t,Thomas,Carper,'1947-01-23',M,sen,'2001-01-03','2007-01-03',DE,1.0,Democrat,10671,,Richard,,,,,'00179',663,22421,S277,Tom Carper,Thomas R. Carper,N00012508,http://carper.senate.gov,S8DE00079,545.0,,,,SenatorCarper,tomcarper,UCgLnvbKwu4B3navofj6Qvvw,249787913,senatorcarper,,
C000174,300019,15015.0,Tom Carper,Q457432,kg:/m/01xw7t,Thomas,Carper,'1947-01-23',M,sen,'2007-01-04','2013-01-03',DE,1.0,Democrat,10671,,Richard,,,,,'00179',663,22421,S277,Tom Carper,Thomas R. Carper,N00012508,http://carper.senate.gov,S8DE00079,545.0,,,,SenatorCarper,tomcarper,UCgLnvbKwu4B3navofj6Qvvw,249787913,senatorcarper,,
C000174,300019,15015.0,Tom Carper,Q457432,kg:/m/01xw7t,Thomas,Carper,'1947-01-23',M,sen,'2013-01-03','2019-01-03',DE,1.0,Democrat,10671,,Richard,,,,,'00179',663,22421,S277,Tom Carper,Thomas R. Carper,N00012508,https://www.carper.senate.gov/public,S8DE00079,545.0,senior,,,SenatorCarper,tomcarper,UCgLnvbKwu4B3navofj6Qvvw,249787913,senatorcarper,,
C000174,300019,15015.0,Tom Carper,Q457432,kg:/m/01xw7t,Thomas,Carper,'1947-01-23',M,sen,'2019-01-03','2025-01-03',DE,1.0,Democrat,10671,,Richard,,,,,'00179',663,22421,S277,Tom Carper,Thomas R. Carper,N00012508,https://www.carper.senate.gov/public,S8DE00079,545.0,senior,,,SenatorCarper,tomcarper,UCgLnvbKwu4B3navofj6Qvvw,249787913,senatorcarper,,
C001070,412246,40703.0,Bob Casey Jr.,Q887841,kg:/m/047ymw,Robert,Casey,'1960-04-13',M,sen,'2007-01-04','2013-01-03',PA,1.0,Democrat,,,P.,Bob,Jr.,,,'01828',47036,2541,S309,"Bob Casey, Jr.","Robert P. Casey, Jr.",N00027503,http://casey.senate.gov/,S6PA00217,727.0,,,,SenBobCasey,SenatorBobCasey,UCtVssXhx-KuZa-hSvnsnJ0A,171598736,SenatorBobCasey,senbobcasey,
C001070,412246,40703.0,Bob Casey Jr.,Q887841,kg:/m/047ymw,Robert,Casey,'1960-04-13',M,sen,'2013-01-03','2019-01-03',PA,1.0,Democrat,,,P.,Bob,Jr.,,,'01828',47036,2541,S309,"Bob Casey, Jr.","Robert P. Casey, Jr.",N00027503,https://www.casey.senate.gov,S6PA00217,727.0,senior,,,SenBobCasey,SenatorBobCasey,UCtVssXhx-KuZa-hSvnsnJ0A,171598736,SenatorBobCasey,senbobcasey,
C001070,412246,40703.0,Bob Casey Jr.,Q887841,kg:/m/047ymw,Robert,Casey,'1960-04-13',M,sen,'2019-01-03','2025-01-03',PA,1.0,Democrat,,,P.,Bob,Jr.,,,'01828',47036,2541,S309,"Bob Casey, Jr.","Robert P. Casey, Jr.",N00027503,https://www.casey.senate.gov,S6PA00217,727.0,senior,,,SenBobCasey,SenatorBobCasey,UCtVssXhx-KuZa-hSvnsnJ0A,171598736,SenatorBobCasey,senbobcasey,
F000062,300043,49300.0,Dianne Feinstein,Q230733,kg:/m/01gqws,Dianne,Feinstein,'1933-06-22',F,sen,'1992-11-10','1995-01-03',CA,1.0,Democrat,13044,,,,,,,'01332',13061,53273,S221,Dianne Feinstein,Dianne Feinstein,N00007364,,S0CA00199,567.0,,,,SenFeinstein,senatorfeinstein,UCtVC--6LR0ff2aOP8THpuEw,476256944,SenatorFeinstein,,
F000062,300043,49300.0,Dianne Feinstein,Q230733,kg:/m/01gqws,Dianne,Feinstein,'1933-06-22',F,sen,'1995-01-04','2001-01-03',CA,1.0,Democrat,13044,,,,,,,'01332',13061,53273,S221,Dianne Feinstein,Dianne Feinstein,N00007364,,S0CA00199,567.0,,,,SenFeinstein,senatorfeinstein,UCtVC--6LR0ff2aOP8THpuEw,476256944,SenatorFeinstein,,
F000062,300043,49300.0,Dianne Feinstein,Q230733,kg:/m/01gqws,Dianne,Feinstein,'1933-06-22',F,sen,'2001-01-03','2007-01-03',CA,1.0,Democrat,13044,,,,,,,'01332',13061,53273,S221,Dianne Feinstein,Dianne Feinstein,N00007364,http://feinstein.senate.gov,S0CA00199,567.0,,,,SenFeinstein,senatorfeinstein,UCtVC--6LR0ff2aOP8THpuEw,476256944,SenatorFeinstein,,
F000062,300043,49300.0,Dianne Feinstein,Q230733,kg:/m/01gqws,Dianne,Feinstein,'1933-06-22',F,sen,'2007-01-04','2013-01-03',CA,1.0,Democrat,13044,,,,,,,'01332',13061,53273,S221,Dianne Feinstein,Dianne Feinstein,N00007364,http://feinstein.senate.gov,S0CA00199,567.0,,,,SenFeinstein,senatorfeinstein,UCtVC--6LR0ff2aOP8THpuEw,476256944,SenatorFeinstein,,
F000062,300043,49300.0,Dianne Feinstein,Q230733,kg:/m/01gqws,Dianne,Feinstein,'1933-06-22',F,sen,'2013-01-03','2019-01-03',CA,1.0,Democrat,13044,,,,,,,'01332',13061,53273,S221,Dianne Feinstein,Dianne Feinstein,N00007364,https://www.feinstein.senate.gov,S0CA00199,567.0,senior,,,SenFeinstein,senatorfeinstein,UCtVC--6LR0ff2aOP8THpuEw,476256944,SenatorFeinstein,,
F000062,300043,49300.0,Dianne Feinstein,Q230733,kg:/m/01gqws,Dianne,Feinstein,'1933-06-22',F,sen,'2019-01-03','2025-01-03',CA,1.0,Democrat,13044,,,,,,,'01332',13061,53273,S221,Dianne Feinstein,Dianne Feinstein,N00007364,https://www.feinstein.senate.gov,S0CA00199,567.0,senior,,,SenFeinstein,senatorfeinstein,UCtVC--6LR0ff2aOP8THpuEw,476256944,SenatorFeinstein,,
K000367,412242,40700.0,Amy Klobuchar,Q22237,kg:/m/05fbpt,Amy,Klobuchar,'1960-05-25',F,sen,'2007-01-04','2013-01-03',MN,1.0,Democrat,16558,,Jean,,,,,'01826',83701,65092,S311,Amy Klobuchar,Amy Klobuchar,N00027500,http://klobuchar.senate.gov/,S6MN00267,724.0,,,,SenAmyKlobuchar,,UCvdeJsDsV51tFb_hVqvtYGA,22044727,senatorklobuchar,,
K000367,412242,40700.0,Amy Klobuchar,Q22237,kg:/m/05fbpt,Amy,Klobuchar,'1960-05-25',F,sen,'2013-01-03','2019-01-03',MN,1.0,Democrat,16558,,Jean,,,,,'01826',83701,65092,S311,Amy Klobuchar,Amy Klobuchar,N00027500,https://www.klobuchar.senate.gov,S6MN00267,724.0,senior,,,SenAmyKlobuchar,,UCvdeJsDsV51tFb_hVqvtYGA,22044727,senatorklobuchar,,
K000367,412242,40700.0,Amy Klobuchar,Q22237,kg:/m/05fbpt,Amy,Klobuchar,'1960-05-25',F,sen,'2019-01-03','2025-01-03',MN,1.0,Democrat,16558,,Jean,,,,,'01826',83701,65092,S311,Amy Klobuchar,Amy Klobuchar,N00027500,https://www.klobuchar.senate.gov,S6MN00267,724.0,senior,,,SenAmyKlobuchar,,UCvdeJsDsV51tFb_hVqvtYGA,22044727,senatorklobuchar,,
M000639,400272,29373.0,Bob Menendez,Q888132,kg:/m/033d3p,Robert,Menendez,'1954-01-01',M,rep,'1993-01-05','1995-01-03',NJ,,Democrat,18124,13,,Bob,,,,'00791',29608,26961,S306,Bob Menendez,Robert Menendez,N00000699,,H2NJ13075|S6NJ00289,368.0,,,,SenatorMenendez,senatormenendez,UC0PV0K9Z5a9p3D5917KF5fw,18695134,SenatorMenendezNJ,senatormenendez,433044338
M000639,400272,29373.0,Bob Menendez,Q888132,kg:/m/033d3p,Robert,Menendez,'1954-01-01',M,rep,'1995-01-04','1997-01-03',NJ,,Democrat,18124,13,,Bob,,,,'00791',29608,26961,S306,Bob Menendez,Robert Menendez,N00000699,,H2NJ13075|S6NJ00289,368.0,,,,SenatorMenendez,senatormenendez,UC0PV0K9Z5a9p3D5917KF5fw,18695134,SenatorMenendezNJ,senatormenendez,433044338
M000639,400272,29373.0,Bob Menendez,Q888132,kg:/m/033d3p,Robert,Menendez,'1954-01-01',M,rep,'1997-01-07','1999-01-03',NJ,,Democrat,18124,13,,Bob,,,,'00791',29608,26961,S306,Bob Menendez,Robert Menendez,N00000699,,H2NJ13075|S6NJ00289,368.0,,,,SenatorMenendez,senatormenendez,UC0PV0K9Z5a9p3D5917KF5fw,18695134,SenatorMenendezNJ,senatormenendez,433044338
M000639,400272,29373.0,Bob Menendez,Q888132,kg:/m/033d3p,Robert,Menendez,'1954-01-01',M,rep,'1999-01-06','2001-01-03',NJ,,Democrat,18124,13,,Bob,,,,'00791',29608,26961,S306,Bob Menendez,Robert Menendez,N00000699,,H2NJ13075|S6NJ00289,368.0,,,,SenatorMenendez,senatormenendez,UC0PV0K9Z5a9p3D5917KF5fw,18695134,SenatorMenendezNJ,senatormenendez,433044338
M000639,400272,29373.0,Bob Menendez,Q888132,kg:/m/033d3p,Robert,Menendez,'1954-01-01',M,rep,'2001-01-03','2003-01-03',NJ,,Democrat,18124,13,,Bob,,,,'00791',29608,26961,S306,Bob Menendez,Robert Menendez,N00000699,,H2NJ13075|S6NJ00289,368.0,,,,SenatorMenendez,senatormenendez,UC0PV0K9Z5a9p3D5917KF5fw,18695134,SenatorMenendezNJ,senatormenendez,433044338
M000639,400272,29373.0,Bob Menendez,Q888132,kg:/m/033d3p,Robert,Menendez,'1954-01-01',M,rep,'2003-01-07','2005-01-03',NJ,,Democrat,18124,13,,Bob,,,,'00791',29608,26961,S306,Bob Menendez,Robert Menendez,N00000699,http://menendez.house.gov,H2NJ13075|S6NJ00289,368.0,,,,SenatorMenendez,senatormenendez,UC0PV0K9Z5a9p3D5917KF5fw,18695134,SenatorMenendezNJ,senatormenendez,433044338
M000639,400272,29373.0,Bob Menendez,Q888132,kg:/m/033d3p,Robert,Menendez,'1954-01-01',M,rep,'2005-01-04','2006-01-16',NJ,,Democrat,18124,13,,Bob,,,,'00791',29608,26961,S306,Bob Menendez,Robert Menendez,N00000699,http://menendez.house.gov,H2NJ13075|S6NJ00289,368.0,,,,SenatorMenendez,senatormenendez,UC0PV0K9Z5a9p3D5917KF5fw,18695134,SenatorMenendezNJ,senatormenendez,433044338
M000639,400272,29373.0,Bob Menendez,Q888132,kg:/m/033d3p,Robert,Menendez,'1954-01-01',M,sen,'2006-01-18','2007-01-03',NJ,1.0,Democrat,18124,,,Bob,,,,'00791',29608,26961,S306,Bob Menendez,Robert Menendez,N00000699,http://menendez.senate.gov/,H2NJ13075|S6NJ00289,368.0,,,,SenatorMenendez,senatormenendez,UC0PV0K9Z5a9p3D5917KF5fw,18695134,SenatorMenendezNJ,senatormenendez,433044338
M000639,400272,29373.0,Bob Menendez,Q888132,kg:/m/033d3p,Robert,Menendez,'1954-01-01',M,sen,'2007-01-04','2013-01-03',NJ,1.0,Democrat,18124,,,Bob,,,,'00791',29608,26961,S306,Bob Menendez,Robert Menendez,N00000699,http://menendez.senate.gov/,H2NJ13075|S6NJ00289,368.0,,,,SenatorMenendez,senatormenendez,UC0PV0K9Z5a9p3D5917KF5fw,18695134,SenatorMenendezNJ,senatormenendez,433044338
M000639,400272,29373.0,Bob Menendez,Q888132,kg:/m/033d3p,Robert,Menendez,'1954-01-01',M,sen,'2013-01-03','2019-01-03',NJ,1.0,Democrat,18124,,,Bob,,,,'00791',29608,26961,S306,Bob Menendez,Robert Menendez,N00000699,https://www.menendez.senate.gov,H2NJ13075|S6NJ00289,368.0,senior,,,SenatorMenendez,senatormenendez,UC0PV0K9Z5a9p3D5917KF5fw,18695134,SenatorMenendezNJ,senatormenendez,433044338
M000639,400272,29373.0,Bob Menendez,Q888132,kg:/m/033d3p,Robert,Menendez,'1954-01-01',M,sen,'2019-01-03','2025-01-03',NJ,1.0,Democrat,18124,,,Bob,,,,'00791',29608,26961,S306,Bob Menendez,Robert Menendez,N00000699,https://www.menendez.senate.gov,H2NJ13075|S6NJ00289,368.0,senior,,,SenatorMenendez,senatormenendez,UC0PV0K9Z5a9p3D5917KF5fw,18695134,SenatorMenendezNJ,senatormenendez,433044338
S000033,400357,29147.0,Bernie Sanders,Q359442,kg:/m/01_gbv,Bernard,Sanders,'1941-09-08',M,rep,'1991-01-03','1993-01-03',VT,,Independent,21173,0,,Bernie,,,,'01010',994,27110,S313,Bernie Sanders,Bernard Sanders,N00000528,,H8VT01016|S4VT00033,450.0,,Democrat,,SenSanders,senatorsanders,UCD_DaKNac0Ta-2PeHuoQ1uA,29442313,senatorsanders,,
S000033,400357,29147.0,Bernie Sanders,Q359442,kg:/m/01_gbv,Bernard,Sanders,'1941-09-08',M,rep,'1993-01-05','1995-01-03',VT,,Independent,21173,0,,Bernie,,,,'01010',994,27110,S313,Bernie Sanders,Bernard Sanders,N00000528,,H8VT01016|S4VT00033,450.0,,Democrat,,SenSanders,senatorsanders,UCD_DaKNac0Ta-2PeHuoQ1uA,29442313,senatorsanders,,
