bioguide,thomas,lis,govtrack,opensecrets,votesmart,fec,cspan,wikipedia,house_history,ballotpedia,maplight,icpsr,wikidata,google_entity_id,first,last,official_full,birthday,gender,type,start,end,state,district,party,url,class,state_rank,middle,nickname,suffix,caucus,end-type
C000141,'00174',S308,400064,N00001955,26888,H6MD03177|S6MD03177,4004,Ben Cardin,10629,Ben Cardin,182,15408,Q723295,kg:/m/025k3k,Benjamin,Cardin,Benjamin L. Cardin,'1943-10-05',M,rep,'1995-01-04','1997-01-03',MD,3,Democrat,,,,L.,,,,
C000141,'00174',S308,400064,N00001955,26888,H6MD03177|S6MD03177,4004,Ben Cardin,10629,Ben Cardin,182,15408,Q723295,kg:/m/025k3k,Benjamin,Cardin,Benjamin L. Cardin,'1943-10-05',M,rep,'1997-01-07','1999-01-03',MD,3,Democrat,,,,L.,,,,
C000141,'00174',S308,400064,N00001955,26888,H6MD03177|S6MD03177,4004,Ben Cardin,10629,Ben Cardin,182,15408,Q723295,kg:/m/025k3k,Benjamin,Cardin,Benjamin L. Cardin,'1943-10-05',M,rep,'1999-01-06','2001-01-03',MD,3,Democrat,,,,L.,,,,
C000141,'00174',S308,400064,N00001955,26888,H6MD03177|S6MD03177,4004,Ben Cardin,10629,Ben Cardin,182,15408,Q723295,kg:/m/025k3k,Benjamin,Cardin,Benjamin L. Cardin,'1943-10-05',M,rep,'2001-01-03','2003-01-03',MD,3,Democrat,,,,L.,,,,
C000141,'00174',S308,400064,N00001955,26888,H6MD03177|S6MD03177,4004,Ben Cardin,10629,Ben Cardin,182,15408,Q723295,kg:/m/025k3k,Benjamin,Cardin,Benjamin L. Cardin,'1943-10-05',M,rep,'2003-01-07','2005-01-03',MD,3,Democrat,http://www.house.gov/cardin,,,L.,,,,
C000141,'00174',S308,400064,N00001955,26888,H6MD03177|S6MD03177,4004,Ben Cardin,10629,Ben Cardin,182,15408,Q723295,kg:/m/025k3k,Benjamin,Cardin,Benjamin L. Cardin,'1943-10-05',M,rep,'2005-01-04','2007-01-03',MD,3,Democrat,http://www.house.gov/cardin,,,L.,,,,
C000141,'00174',S308,400064,N00001955,26888,H6MD03177|S6MD03177,4004,Ben Cardin,10629,Ben Cardin,182,15408,Q723295,kg:/m/025k3k,Benjamin,Cardin,Benjamin L. Cardin,'1943-10-05',M,sen,'2007-01-04','2013-01-03',MD,,Democrat,http://cardin.senate.gov/,1,,L.,,,,
C000141,'00174',S308,400064,N00001955,26888,H6MD03177|S6MD03177,4004,Ben Cardin,10629,Ben Cardin,182,15408,Q723295,kg:/m/025k3k,Benjamin,Cardin,Benjamin L. Cardin,'1943-10-05',M,sen,'2013-01-03','2019-01-03',MD,,Democrat,https://www.cardin.senate.gov,1,senior,L.,,,,
C000141,'00174',S308,400064,N00001955,26888,H6MD03177|S6MD03177,4004,Ben Cardin,10629,Ben Cardin,182,15408,Q723295,kg:/m/025k3k,Benjamin,Cardin,Benjamin L. Cardin,'1943-10-05',M,sen,'2019-01-03','2025-01-03',MD,,Democrat,https://www.cardin.senate.gov,1,senior,L.,,,,
C000174,'00179',S277,300019,N00012508,22421,S8DE00079,663,Tom Carper,10671,Tom Carper,545,15015,Q457432,kg:/m/01xw7t,Thomas,Carper,Thomas R. Carper,'1947-01-23',M,rep,'1983-01-03','1985-01-03',DE,0,Democrat,,,,Richard,,,,
C000174,'00179',S277,300019,N00012508,22421,S8DE00079,663,Tom Carper,10671,Tom Carper,545,15015,Q457432,kg:/m/01xw7t,Thomas,Carper,Thomas R. Carper,'1947-01-23',M,rep,'1985-01-03','1987-01-03',DE,0,Democrat,,,,Richard,,,,
C000174,'00179',S277,300019,N00012508,22421,S8DE00079,663,Tom Carper,10671,Tom Carper,545,15015,Q457432,kg:/m/01xw7t,Thomas,Carper,Thomas R. Carper,'1947-01-23',M,rep,'1987-01-06','1989-01-03',DE,0,Democrat,,,,Richard,,,,
C000174,'00179',S277,300019,N00012508,22421,S8DE00079,663,Tom Carper,10671,Tom Carper,545,15015,Q457432,kg:/m/01xw7t,Thomas,Carper,Thomas R. Carper,'1947-01-23',M,rep,'1989-01-03','1991-01-03',DE,0,Democrat,,,,Richard,,,,
C000174,'00179',S277,300019,N00012508,22421,S8DE00079,663,Tom Carper,10671,Tom Carper,545,15015,Q457432,kg:/m/01xw7t,Thomas,Carper,Thomas R. Carper,'1947-01-23',M,rep,'1991-01-03','1993-01-03',DE,0,Democrat,,,,Richard,,,,
C000174,'00179',S277,300019,N00012508,22421,S8DE00079,663,Tom Carper,10671,Tom Carper,545,15015,Q457432,kg:/m/01xw7t,Thomas,Carper,Thomas R. Carper,'1947-01-23',M,sen,'2001-01-03','2007-01-03',DE,,Democrat,http://carper.senate.gov,1,,Richard,,,,
C000174,'00179',S277,300019,N00012508,22421,S8DE00079,663,Tom Carper,10671,Tom Carper,545,15015,Q457432,kg:/m/01xw7t,Thomas,Carper,Thomas R. Carper,'1947-01-23',M,sen,'2007-01-04','2013-01-03',DE,,Democrat,http://carper.senate.gov,1,,Richard,,,,
C000174,'00179',S277,300019,N00012508,22421,S8DE00079,663,Tom Carper,10671,Tom Carper,545,15015,Q457432,kg:/m/01xw7t,Thomas,Carper,Thomas R. Carper,'1947-01-23',M,sen,'2013-01-03','2019-01-03',DE,,Democrat,https://www.carper.senate.gov/public,1,senior,Richard,,,,
C000174,'00179',S277,300019,N00012508,22421,S8DE00079,663,Tom Carper,10671,Tom Carper,545,15015,Q457432,kg:/m/01xw7t,Thomas,Carper,Thomas R. Carper,'1947-01-23',M,sen,'2019-01-03','2025-01-03',DE,,Democrat,https://www.carper.senate.gov/public,1,senior,Richard,,,,
C001070,'01828',S309,412246,N00027503,2541,S6PA00217,47036,Bob Casey Jr.,,"Bob Casey, Jr.",727,40703,Q887841,kg:/m/047ymw,Robert,Casey,"Robert P. Casey, Jr.",'1960-04-13',M,sen,'2007-01-04','2013-01-03',PA,,Democrat,http://casey.senate.gov/,1,,P.,Bob,Jr.,,
C001070,'01828',S309,412246,N00027503,2541,S6PA00217,47036,Bob Casey Jr.,,"Bob Casey, Jr.",727,40703,Q887841,kg:/m/047ymw,Robert,Casey,"Robert P. Casey, Jr.",'1960-04-13',M,sen,'2013-01-03','2019-01-03',PA,,Democrat,https://www.casey.senate.gov,1,senior,P.,Bob,Jr.,,
C001070,'01828',S309,412246,N00027503,2541,S6PA00217,47036,Bob Casey Jr.,,"Bob Casey, Jr.",727,40703,Q887841,kg:/m/047ymw,Robert,Casey,"Robert P. Casey, Jr.",'1960-04-13',M,sen,'2019-01-03','2025-01-03',PA,,Democrat,https://www.casey.senate.gov,1,senior,P.,Bob,Jr.,,
F000062,'01332',S221,300043,N00007364,53273,S0CA00199,13061,Dianne Feinstein,13044,Dianne Feinstein,567,49300,Q230733,kg:/m/01gqws,Dianne,Feinstein,Dianne Feinstein,'1933-06-22',F,sen,'1992-11-10','1995-01-03',CA,,Democrat,,1,,,,,,
F000062,'01332',S221,300043,N00007364,53273,S0CA00199,13061,Dianne Feinstein,13044,Dianne Feinstein,567,49300,Q230733,kg:/m/01gqws,Dianne,Feinstein,Dianne Feinstein,'1933-06-22',F,sen,'1995-01-04','2001-01-03',CA,,Democrat,,1,,,,,,
F000062,'01332',S221,300043,N00007364,53273,S0CA00199,13061,Dianne Feinstein,13044,Dianne Feinstein,567,49300,Q230733,kg:/m/01gqws,Dianne,Feinstein,Dianne Feinstein,'1933-06-22',F,sen,'2001-01-03','2007-01-03',CA,,Democrat,http://feinstein.senate.gov,1,,,,,,
F000062,'01332',S221,300043,N00007364,53273,S0CA00199,13061,Dianne Feinstein,13044,Dianne Feinstein,567,49300,Q230733,kg:/m/01gqws,Dianne,Feinstein,Dianne Feinstein,'1933-06-22',F,sen,'2007-01-04','2013-01-03',CA,,Democrat,http://feinstein.senate.gov,1,,,,,,
F000062,'01332',S221,300043,N00007364,53273,S0CA00199,13061,Dianne Feinstein,13044,Dianne Feinstein,567,49300,Q230733,kg:/m/01gqws,Dianne,Feinstein,Dianne Feinstein,'1933-06-22',F,sen,'2013-01-03','2019-01-03',CA,,Democrat,https://www.feinstein.senate.gov,1,senior,,,,,
F000062,'01332',S221,300043,N00007364,53273,S0CA00199,13061,Dianne Feinstein,13044,Dianne Feinstein,567,49300,Q230733,kg:/m/01gqws,Dianne,Feinstein,Dianne Feinstein,'1933-06-22',F,sen,'2019-01-03','2025-01-03',CA,,Democrat,https://www.feinstein.senate.gov,1,senior,,,,,
K000367,'01826',S311,412242,N00027500,65092,S6MN00267,83701,Amy Klobuchar,16558,Amy Klobuchar,724,40700,Q22237,kg:/m/05fbpt,Amy,Klobuchar,Amy Klobuchar,'1960-05-25',F,sen,'2007-01-04','2013-01-03',MN,,Democrat,http://klobuchar.senate.gov/,1,,Jean,,,,
K000367,'01826',S311,412242,N00027500,65092,S6MN00267,83701,Amy Klobuchar,16558,Amy Klobuchar,724,40700,Q22237,kg:/m/05fbpt,Amy,Klobuchar,Amy Klobuchar,'1960-05-25',F,sen,'2013-01-03','2019-01-03',MN,,Democrat,https://www.klobuchar.senate.gov,1,senior,Jean,,,,
K000367,'01826',S311,412242,N00027500,65092,S6MN00267,83701,Amy Klobuchar,16558,Amy Klobuchar,724,40700,Q22237,kg:/m/05fbpt,Amy,Klobuchar,Amy Klobuchar,'1960-05-25',F,sen,'2019-01-03','2025-01-03',MN,,Democrat,https://www.klobuchar.senate.gov,1,senior,Jean,,,,
M000639,'00791',S306,400272,N00000699,26961,H2NJ13075|S6NJ00289,29608,Bob Menendez,18124,Bob Menendez,368,29373,Q888132,kg:/m/033d3p,Robert,Menendez,Robert Menendez,'1954-01-01',M,rep,'1993-01-05','1995-01-03',NJ,13,Democrat,,,,,Bob,,,
M000639,'00791',S306,400272,N00000699,26961,H2NJ13075|S6NJ00289,29608,Bob Menendez,18124,Bob Menendez,368,29373,Q888132,kg:/m/033d3p,Robert,Menendez,Robert Menendez,'1954-01-01',M,rep,'1995-01-04','1997-01-03',NJ,13,Democrat,,,,,Bob,,,
M000639,'00791',S306,400272,N00000699,26961,H2NJ13075|S6NJ00289,29608,Bob Menendez,18124,Bob Menendez,368,29373,Q888132,kg:/m/033d3p,Robert,Menendez,Robert Menendez,'1954-01-01',M,rep,'1997-01-07','1999-01-03',NJ,13,Democrat,,,,,Bob,,,
M000639,'00791',S306,400272,N00000699,26961,H2NJ13075|S6NJ00289,29608,Bob Menendez,18124,Bob Menendez,368,29373,Q888132,kg:/m/033d3p,Robert,Menendez,Robert Menendez,'1954-01-01',M,rep,'1999-01-06','2001-01-03',NJ,13,Democrat,,,,,Bob,,,
M000639,'00791',S306,400272,N00000699,26961,H2NJ13075|S6NJ00289,29608,Bob Menendez,18124,Bob Menendez,368,29373,Q888132,kg:/m/033d3p,Robert,Menendez,Robert Menendez,'1954-01-01',M,rep,'2001-01-03','2003-01-03',NJ,13,Democrat,,,,,Bob,,,
M000639,'00791',S306,400272,N00000699,26961,H2NJ13075|S6NJ00289,29608,Bob Menendez,18124,Bob Menendez,368,29373,Q888132,kg:/m/033d3p,Robert,Menendez,Robert Menendez,'1954-01-01',M,rep,'2003-01-07','2005-01-03',NJ,13,Democrat,http://menendez.house.gov,,,,Bob,,,
M000639,'00791',S306,400272,N00000699,26961,H2NJ13075|S6NJ00289,29608,Bob Menendez,18124,Bob Menendez,368,29373,Q888132,kg:/m/033d3p,Robert,Menendez,Robert Menendez,'1954-01-01',M,rep,'2005-01-04','2006-01-16',NJ,13,Democrat,http://menendez.house.gov,,,,Bob,,,
M000639,'00791',S306,400272,N00000699,26961,H2NJ13075|S6NJ00289,29608,Bob Menendez,18124,Bob Menendez,368,29373,Q888132,kg:/m/033d3p,Robert,Menendez,Robert Menendez,'1954-01-01',M,sen,'2006-01-18','2007-01-03',NJ,,Democrat,http://menendez.senate.gov/,1,,,Bob,,,
M000639,'00791',S306,400272,N00000699,26961,H2NJ13075|S6NJ00289,29608,Bob Menendez,18124,Bob Menendez,368,29373,Q888132,kg:/m/033d3p,Robert,Menendez,Robert Menendez,'1954-01-01',M,sen,'2007-01-04','2013-01-03',NJ,,Democrat,http://menendez.senate.gov/,1,,,Bob,,,
M000639,'00791',S306,400272,N00000699,26961,H2NJ13075|S6NJ00289,29608,Bob Menendez,18124,Bob Menendez,368,29373,Q888132,kg:/m/033d3p,Robert,Menendez,Robert Menendez,'1954-01-01',M,sen,'2013-01-03','2019-01-03',NJ,,Democrat,https://www.menendez.senate.gov,1,senior,,Bob,,,
M000639,'00791',S306,400272,N00000699,26961,H2NJ13075|S6NJ00289,29608,Bob Menendez,18124,Bob Menendez,368,29373,Q888132,kg:/m/033d3p,Robert,Menendez,Robert Menendez,'1954-01-01',M,sen,'2019-01-03','2025-01-03',NJ,,Democrat,https://www.menendez.senate.gov,1,senior,,Bob,,,
S000033,'01010',S313,400357,N00000528,27110,H8VT01016|S4VT00033,994,Bernie Sanders,21173,Bernie Sanders,450,29147,Q359442,kg:/m/01_gbv,Bernard,Sanders,Bernard Sanders,'1941-09-08',M,rep,'1991-01-03','1993-01-03',VT,0,Independent,,,,,Bernie,,Democrat,
S000033,'01010',S313,400357,N00000528,27110,H8VT01016|S4VT00033,994,Bernie Sanders,21173,Bernie Sanders,450,29147,Q359442,kg:/m/01_gbv,Bernard,Sanders,Bernard Sanders,'1941-09-08',M,rep,'1993-01-05','1995-01-03',VT,0,Independent,,,,,Bernie,,Democrat,
S000033,'01010',S313,400357,N00000528,27110,H8VT01016|S4VT00033,994,Bernie Sanders,21173,Bernie Sanders,450,29147,Q359442,kg:/m/01_gbv,Bernard,Sanders,Bernard Sanders,'1941-09-08',M,rep,'1995-01-04','1997-01-03',VT,0,Independent,,,,,Bernie,,Democrat,
S000033,'01010',S313,400357,N00000528,27110,H8VT01016|S4VT00033,994,Bernie Sanders,21173,Bernie Sanders,450,29147,Q359442,kg:/m/01_gbv,Bernard,Sanders,Bernard Sanders,'1941-09-08',M,rep,'1997-01-07','1999-01-03',VT,0,Independent,,,,,Bernie,,Democrat,
S000033,'01010',S313,400357,N00000528,27110,H8VT01016|S4VT00033,994,Bernie Sanders,21173,Bernie Sanders,450,29147,Q359442,kg:/m/01_gbv,Bernard,Sanders,Bernard Sanders,'1941-09-08',M,rep,'1999-01-06','2001-01-03',VT,0,Independent,,,,,Bernie,,Democrat,
S000033,'01010',S313,400357,N00000528,27110,H8VT01016|S4VT00033,994,Bernie Sanders,21173,Bernie Sanders,450,29147,Q359442,kg:/m/01_gbv,Bernard,Sanders,Bernard Sanders,'1941-09-08',M,rep,'2001-01-03','2003-01-03',VT,0,Independent,,,,,Bernie,,Democrat,
S000033,'01010',S313,400357,N00000528,27110,H8VT01016|S4VT00033,994,Bernie Sanders,21173,Bernie Sanders,450,29147,Q359442,kg:/m/01_gbv,Bernard,Sanders,Bernard Sanders,'1941-09-08',M,rep,'2003-01-07','2005-01-03',VT,0,Independent,http://bernie.house.gov,,,,Bernie,,Democrat,
S000033,'01010',S313,400357,N00000528,27110,H8VT01016|S4VT00033,994,Bernie Sanders,21173,Bernie Sanders,450,29147,Q359442,kg:/m/01_gbv,Bernard,Sanders,Bernard Sanders,'1941-09-08',M,rep,'2005-01-04','2007-01-03',VT,0,Independent,http://bernie.house.gov,,,,Bernie,,Democrat,
S000033,'01010',S313,400357,N00000528,27110,H8VT01016|S4VT00033,994,Bernie Sanders,21173,Bernie Sanders,450,29147,Q359442,kg:/m/01_gbv,Bernard,Sanders,Bernard Sanders,'1941-09-08',M,sen,'2007-01-04','2013-01-03',VT,,Independent,http://sanders.senate.gov/,1,,,Bernie,,Democrat,
S000033,'01010',S313,400357,N00000528,27110,H8VT01016|S4VT00033,994,Bernie Sanders,21173,Bernie Sanders,450,29147,Q359442,kg:/m/01_gbv,Bernard,Sanders,Bernard Sanders,'1941-09-08',M,sen,'2013-01-03','2019-01-03',VT,,Independent,https://www.sanders.senate.gov,1,junior,,Bernie,,Democrat,
S000033,'01010',S313,400357,N00000528,27110,H8VT01016|S4VT00033,994,Bernie Sanders,21173,Bernie Sanders,450,29147,Q359442,kg:/m/01_gbv,Bernard,Sanders,Bernard Sanders,'1941-09-08',M,sen,'2019-01-03','2025-01-03',VT,,Independent,https://www.sanders.senate.gov,1,junior,,Bernie,,Democrat,
S000770,'01531',S284,300093,N00004118,515,S8MI00281|H6MI08163,45451,Debbie Stabenow,22090,Debbie Stabenow,612,29732,Q241092,kg:/m/01xh64,Debbie,Stabenow,Debbie Stabenow,'1950-04-29',F,rep,'1997-01-07','1999-01-03',MI,8,Democrat,,,,Ann,,,,
S000770,'01531',S284,300093,N00004118,515,S8MI00281|H6MI08163,45451,Debbie Stabenow,22090,Debbie Stabenow,612,29732,Q241092,kg:/m/01xh64,Debbie,Stabenow,Debbie Stabenow,'1950-04-29',F,rep,'1999-01-06','2001-01-03',MI,8,Democrat,,,,Ann,,,,
S000770,'01531',S284,300093,N00004118,515,S8MI00281|H6MI08163,45451,Debbie Stabenow,22090,Debbie Stabenow,612,29732,Q241092,kg:/m/01xh64,Debbie,Stabenow,Debbie Stabenow,'1950-04-29',F,sen,'2001-01-03','2007-01-03',MI,,Democrat,http://stabenow.senate.gov/,1,,Ann,,,,
S000770,'01531',S284,300093,N00004118,515,S8MI00281|H6MI08163,45451,Debbie Stabenow,22090,Debbie Stabenow,612,29732,Q241092,kg:/m/01xh64,Debbie,Stabenow,Debbie Stabenow,'1950-04-29',F,sen,'2007-01-04','2013-01-03',MI,,Democrat,http://stabenow.senate.gov/,1,,Ann,,,,
S000770,'01531',S284,300093,N00004118,515,S8MI00281|H6MI08163,45451,Debbie Stabenow,22090,Debbie Stabenow,612,29732,Q241092,kg:/m/01xh64,Debbie,Stabenow,Debbie Stabenow,'1950-04-29',F,sen,'2013-01-03','2019-01-03',MI,,Democrat,https://www.stabenow.senate.gov,1,senior,Ann,,,,
S000770,'01531',S284,300093,N00004118,515,S8MI00281|H6MI08163,45451,Debbie Stabenow,22090,Debbie Stabenow,612,29732,Q241092,kg:/m/01xh64,Debbie,Stabenow,Debbie Stabenow,'1950-04-29',F,sen,'2019-01-03','2025-01-03',MI,,Democrat,https://www.stabenow.senate.gov,1,senior,Ann,,,,
T000464,'01829',S314,412244,N00027605,20928,S6MT00162,1020176,Jon Tester,,Jon Tester,726,40702,Q529351,kg:/m/066cdp,Jon,Tester,Jon Tester,'1956-08-21',M,sen,'2007-01-04','2013-01-03',MT,,Democrat,http://tester.senate.gov/,1,,,,,,
T000464,'01829',S314,412244,N00027605,20928,S6MT00162,1020176,Jon Tester,,Jon Tester,726,40702,Q529351,kg:/m/066cdp,Jon,Tester,Jon Tester,'1956-08-21',M,sen,'2013-01-03','2019-01-03',MT,,Democrat,https://www.tester.senate.gov,1,senior,,,,,
T000464,'01829',S314,412244,N00027605,20928,S6MT00162,1020176,Jon Tester,,Jon Tester,726,40702,Q529351,kg:/m/066cdp,Jon,Tester,Jon Tester,'1956-08-21',M,sen,'2019-01-03','2025-01-03',MT,,Democrat,https://www.tester.senate.gov,1,senior,,,,,
W000802,'01823',S316,412247,N00027533,2572,S6RI00221,92235,Sheldon Whitehouse,,Sheldon Whitehouse,728,40704,Q652066,kg:/m/07qw94,Sheldon,Whitehouse,Sheldon Whitehouse,'1955-10-20',M,sen,'2007-01-04','2013-01-03',RI,,Democrat,http://whitehouse.senate.gov/,1,,,,,,
W000802,'01823',S316,412247,N00027533,2572,S6RI00221,92235,Sheldon Whitehouse,,Sheldon Whitehouse,728,40704,Q652066,kg:/m/07qw94,Sheldon,Whitehouse,Sheldon Whitehouse,'1955-10-20',M,sen,'2013-01-03','2019-01-03',RI,,Democrat,https://www.whitehouse.senate.gov,1,junior,,,,,
W000802,'01823',S316,412247,N00027533,2572,S6RI00221,92235,Sheldon Whitehouse,,Sheldon Whitehouse,728,40704,Q652066,kg:/m/07qw94,Sheldon,Whitehouse,Sheldon Whitehouse,'1955-10-20',M,sen,'2019-01-03','2025-01-03',RI,,Democrat,https://www.whitehouse.senate.gov,1,junior,,,,,
B001261,'01881',S317,412251,N00006236,52662,S6WY00068,1024777,John Barrasso,,John Barrasso,732,40707,Q720521,kg:/m/02rsm32,John,Barrasso,John Barrasso,'1952-07-21',M,sen,'2007-06-25','2013-01-03',WY,,Republican,http://barrasso.senate.gov,1,,A.,,,,
B001261,'01881',S317,412251,N00006236,52662,S6WY00068,1024777,John Barrasso,,John Barrasso,732,40707,Q720521,kg:/m/02rsm32,John,Barrasso,John Barrasso,'1952-07-21',M,sen,'2013-01-03','2019-01-03',WY,,Republican,https://www.barrasso.senate.gov,1,junior,A.,,,,
B001261,'01881',S317,412251,N00006236,52662,S6WY00068,1024777,John Barrasso,,John Barrasso,732,40707,Q720521,kg:/m/02rsm32,John,Barrasso,John Barrasso,'1952-07-21',M,sen,'2019-01-03','2025-01-03',WY,,Republican,https://www.barrasso.senate.gov,1,junior,A.,,,,
W000437,'01226',S318,400432,N00003280,21926,H4MS01078|S8MS00196,18203,Roger Wicker,23734,Roger Wicker,517,29534,Q390491,kg:/m/025xxb,Roger,Wicker,Roger F. Wicker,'1951-07-05',M,rep,'1995-01-04','1997-01-03',MS,1,Republican,,,,F.,,,,
W000437,'01226',S318,400432,N00003280,21926,H4MS01078|S8MS00196,18203,Roger Wicker,23734,Roger Wicker,517,29534,Q390491,kg:/m/025xxb,Roger,Wicker,Roger F. Wicker,'1951-07-05',M,rep,'1997-01-07','1999-01-03',MS,1,Republican,,,,F.,,,,
W000437,'01226',S318,400432,N00003280,21926,H4MS01078|S8MS00196,18203,Roger Wicker,23734,Roger Wicker,517,29534,Q390491,kg:/m/025xxb,Roger,Wicker,Roger F. Wicker,'1951-07-05',M,rep,'1999-01-06','2001-01-03',MS,1,Republican,,,,F.,,,,
